ultimaActualizacion,id_caso,casoId,sugerencia_id,Dominio,usuario,estado_caso,suggestion_reason,Auditor,Borrado,EstadoFinal_esCorrecto,Motivo_de_Rechazo_esCorrecto,Accion_Correcta,Codigo_de_tipificacion,Casuisticas,Comentario,Casuisticas agrupadas,Aplica_BTC,Tipo_de_BTC
2025-12-29,MCOS366153726,MCOS366153726,521133436,KITCHEN_FAUCETS,ext_dadi,Rechazado,E-REL,ext_lopmatia,,OK,OK,,,,,,,
2025-12-29,MLAS358104791,MLAS358104791,511109113,SPEAKERS,ext_deparede,Aprobado,APPROVED,ext_maminczu,,OK,OK,,,,,,,
2025-12-29,MLAS358104791,MLAS358104791,511109115,SPEAKERS,ext_deparede,Aprobado,MADE_IN_ENHANCEMENT,ext_maminczu,,OK,OK,,,,,,,
2025-12-29,MLAS358104791,MLAS358104791,511109117,SPEAKERS,ext_deparede,Aprobado,MADE_IN_ENHANCEMENT,ext_maminczu,,OK,OK,,,,,,,
2025-12-29,MLAS358104791,MLAS358104791,511109125,SPEAKERS,ext_deparede,Aprobado,APPROVED,ext_maminczu,,OK,OK,,,,,,,
2025-12-29,MLAS358104791,MLAS358104791,511109114,SPEAKERS,ext_deparede,Aprobado,MADE_IN_ENHANCEMENT,ext_maminczu,,OK,OK,,,,,,,
2025-12-29,MLAS358104791,MLAS358104791,511109119,SPEAKERS,ext_deparede,Aprobado,APPROVED,ext_maminczu,,OK,OK,,,,,,,
2025-12-29,MLAS358104791,MLAS358104791,511109123,SPEAKERS,ext_deparede,Aprobado,APPROVED,ext_maminczu,,OK,OK,,,,,,,
2025-12-29,MLAS358104791,MLAS358104791,511109129,SPEAKERS,ext_deparede,Aprobado,APPROVED,ext_maminczu,,OK,OK,,,,,,,
2025-12-29,MLAS358104791,MLAS358104791,511109126,SPEAKERS,ext_deparede,Aprobado,APPROVED,ext_maminczu,,OK,OK,,,,,,,
2025-12-29,MLAS358104791,MLAS358104791,511109122,SPEAKERS,ext_deparede,Aprobado,APPROVED,ext_maminczu,,OK,OK,,,,,,,
2025-12-29,MLAS358104791,MLAS358104791,511109118,SPEAKERS,ext_deparede,Aprobado,APPROVED,ext_maminczu,,OK,OK,,,,,,,
2025-12-29,MLAS358104791,MLAS358104791,511109120,SPEAKERS,ext_deparede,Aprobado,APPROVED,ext_maminczu,,OK,OK,,,,,,,
