FECHA_ACCIONAMIENTO,ID_CDM,productora,COLABORADOR,ESTADO_VARIANTE,DOMINIO,PDP_ID,PDP_LINK,ITEM_ID,LINK_ITEM,VARIATION_ID,INFO_CHILD,FORZAR_PDP,RESOLUCION,COMENTARIO,Auditor,EstadoFinal_esCorrecto,Motivo_de_Rechazo_esCorrecto,Accion_Correcta,Casuisticas,Comentario
29 dic 2025,12728833,Netkel,ext_aiolmedo,null,FLOOR_CEILING_AND_WALL_LIGHTS,MLB21782266,https://produto.mercadolivre.com.br/p/MLB21782266,MLB3188360950,https://produto.mercadolivre.com.br/MLB-3188360950,null,COLOR: Branco quente/ LIGHT_COLOR: Branco quente/ UNITS_PER_PACK: 6/ VOLTAGE: 110V/220V (Bivolt),null,DESESTIMAR,Valores descriptivos,ext_joatenci,OK,OK,,,
29 dic 2025,12729828,Netkel,ext_siosanch,null,EYELASH_EXTENSIONS,MLM50972606,https://articulo.mercadolibre.com.mx/p/MLM50972606,MLM2477644762,https://articulo.mercadolibre.com.mx/MLM-2477644762,null,COLOR: Multicolor/ LENGTH: 1.5 cm/ SALE_FORMAT: Pack/ THICKNESS: 2 mm/ UNITS_PER_PACK: 200/ UNITS_PER_PACKAGE: 200,null,OPTIN_SAME_PDP,TITLE_UPDATE/IMG_UPDATE,ext_joatenci,OK,OK,,,
29 dic 2025,12730003,Netkel,ext_flagusti,FAMILIA_YA_CREADA,HAIR_CLIPPERS_ELECTRIC_SHAVERS_AND_HAIR_TRIMMERS,MLM24158201,https://articulo.mercadolibre.com.mx/p/MLM24158201,MLM2437336081,https://articulo.mercadolibre.com.mx/MLM-2437336081,null,COLOR: Verde lima/ VOLTAGE: 110-240V,MLM24345298,OPTIN_OTHER_PDP,IMG_UPDATE,ext_joatenci,OK,OK,,,
29 dic 2025,12722953,Netkel,ext_matvalle,FAMILIA_YA_CREADA,MATTRESSES,MLM49756563,https://articulo.mercadolibre.com.mx/p/MLM49756563,MLM3360714868,https://articulo.mercadolibre.com.mx/MLM-3360714868,null,COLOR: Azul/ HEIGHT: 14 cm/ LENGTH: 190 cm/ MATTRESS_SIZE: Individual/ WIDTH: 100 cm/ WITH_PILLOW: No,MLM63345842,OPTIN_OTHER_PDP,MIX:TITLE_UPDATE/DESCRIP_UPDATE/IMG_UPDATE_ADD/ATT_ADD_CHILD,ext_joatenci,OK,OK,,,
29 dic 2025,12725222,Netkel,ext_igcuevas,FAMILIA_YA_CREADA,AIRSOFT_GUNS,MLB61058442,https://produto.mercadolivre.com.br/p/MLB61058442,MLB5105397644,https://produto.mercadolivre.com.br/MLB-5105397644,null,AIRSOFT_GUN_SPEED: 797.244 ft/s/ CALIBER: 5.5 mm/ COLOR: Preto,MLB63228472,OPTIN_OTHER_PDP,MIX:IMG_UPDATE_ADD/TITLE_UPDATE/DESCRIP_UPDATE/MF_UPDATE,ext_joatenci,OK,OK,,,
29 dic 2025,12727367,Netkel,ext_matvalle,FAMILIA_YA_CREADA,SPEAKERS,MLB42523097,https://produto.mercadolivre.com.br/p/MLB42523097,MLB4132819257,https://produto.mercadolivre.com.br/MLB-4132819257,null,COLOR: Preto/ VOLTAGE: 220V,MLB63478249,OPTIN_OTHER_PDP,MIX:TITLE_UPDATE/DESCRIP_UPDATE/IMG_UPDATE_ADD,ext_joatenci,OK,OK,,,
29 dic 2025,12730156,Netkel,ext_aiolmedo,null,POOL_ROBOTS_AND_CLEANERS,MLC42257226,https://articulo.mercadolibre.cl/p/MLC42257226,MLC1554088527,https://articulo.mercadolibre.cl/MLC-1554088527,null,VOLTAGE: 110V,null,DESESTIMAR,Voltaje,ext_joatenci,OK,OK,,,
29 dic 2025,12730521,Netkel,ext_siosanch,null,AUTOMOTIVE_TIRES,MLB44782699,https://produto.mercadolivre.com.br/p/MLB44782699,MLB3966477303,https://produto.mercadolivre.com.br/MLB-3966477303,null,IS_RUN_FLAT: Não/ LOAD_INDEX: 89/ SERVICE_TYPE: P/ SPEED_INDEX: H/ TIRES_NUMBER: 2/ UNITS_PER_PACK: 2,null,FAMILY_NO_CREATED,"Item menciona que viene un producto de regalo, no se logra identificar con info del item el regalo correspondiente",ext_joatenci,OK,OK,,,
29 dic 2025,12730997,Netkel,ext_jocambar,null,BABY_CUSHIONS_AND_PILLOWS,MLB52973525,https://produto.mercadolivre.com.br/p/MLB52973525,MLB5412533212,https://produto.mercadolivre.com.br/MLB-5412533212,null,COLOR: Branco/ FABRIC_DESIGN: Liso/ HEIGHT: 12 cm/ LENGTH: 130 cm/ SALE_FORMAT: Unidade/ UNITS_PER_PACK: 1,MLB52973525,OPTIN_SAME_PDP,title_update//descrip_update,ext_joatenci,NOT OK,NOT OK,OPTIN_OTHER_PDP 52973526,,Se debía optinear al producto hijo 52973526 no al padre que vino en la tarjeta
29 dic 2025,12725573,Netkel,ext_igcuevas,FAMILIA_YA_CREADA,AUTOMOTIVE_TIRES,MLM39209805,https://articulo.mercadolibre.com.mx/p/MLM39209805,MLM2219516597,https://articulo.mercadolibre.com.mx/MLM-2219516597,null,IS_RUN_FLAT: No/ LOAD_INDEX: 95H/ SERVICE_TYPE: P/ SPEED_INDEX: H/ TIRES_NUMBER: 2/ UNITS_PER_PACK: 2,MLM12725222,OPTIN_OTHER_PDP,MIX:IMG_UPDATE_ADD/TITLE_UPDATE/DESCRIP_UPDATE/MF_UPDATE,ext_joatenci,OK,OK,,,
